조사년도,대학구분,학교구분,지역,설립구분,학교명,본분교명,단과대학,학부·과(전공)명,주야구분,학과특성,학과상태,표준대계열,표준중계열,표준소계열,대학 자체 대개열,수업연한,학위과정
2020,대학원,일반대학원,경남,사립,영산대학교 일반대학원,본교,단과대구분없음,컴퓨터·정보공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,박사
2020,전문대학,전문대학(2년제),대구,사립,영진전문대학교,본교,단과대구분없음,컴퓨터응용기계공학과,주간,학사학위전공심화(경력없음),분리,공학계열,기계,기계공학,공학계열,2년(전공심화),학사
2020,전문대학,전문대학(2년제),대구,사립,영진전문대학교,본교,단과대구분없음,컴퓨터정보계열,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,3년,전문학사
2020,전문대학,전문대학(3년제),경기,사립,용인송담대학교,본교,단과대구분없음,컴퓨터정보과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,3년,전문학사
2020,대학원,일반대학원,전북,사립,우석대학교 일반대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,석사
2020,대학,대학교,대전,사립,우송대학교,본교,단과대구분없음,IT융합학부 컴퓨터정보·보안전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,전문대학,전문대학(3년제),대전,사립,우송정보대학,본교,단과대구분없음,컴퓨터정보과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,전문학사
2020,대학,대학교,전북,사립,원광대학교,본교,창의공과대학,컴퓨터·소프트웨어공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,전북,사립,원광대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학,대학교,서울,사립,이화여자대학교,본교,엘텍공과대학,컴퓨터공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,서울,사립,이화여자대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,전문대학,전문대학(2년제),서울,사립,인덕대학교,본교,단과대구분없음,컴퓨터소프트웨어학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,응용소프트웨어공학,공학계열,3년,전문학사
2020,전문대학,전문대학(2년제),서울,사립,인덕대학교,본교,단과대구분없음,컴퓨터전자공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전자공학,공학계열,3년,전문학사
2020,대학,대학교,경남,사립,인제대학교,본교,AI융합대학,컴퓨터공학부,주간,일반과정,변경,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,경남,사립,인제대학교 일반대학원,본교,단과대구분없음,컴퓨터응용과학과,주간,일반과정,기존,자연과학계열,N.C.E,N.C.E.,자연과학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,인천,국립대법인,인천대학교,본교,정보기술대학,컴퓨터공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,인천,국립대법인,인천대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,전문대학,전문대학(3년제),인천,사립,인하공업전문대학,본교,단과대구분없음,컴퓨터정보과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,3년,전문학사
2020,대학,대학교,인천,사립,인하대학교,본교,단과대구분없음,컴퓨터공학과(IUT),주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,인천,사립,인하대학교 대학원,본교,단과대구분없음,전기컴퓨터공학과,주간,일반과정,통합,공학계열,전기·전자·컴퓨터,N.C.E.,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,광주,국립,전남대학교,본교,공과대학,컴퓨터정보통신공학과,주간,일반과정,분리,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,4년,학사
2020,대학,대학교,전남,국립,전남대학교,제2캠퍼스,공학대학,전기·전자통신·컴퓨터공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,N.C.E.,공학계열,4년,학사
2020,대학원,일반대학원,광주,국립,전남대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학,대학교,전북,국립,전북대학교,본교,공과대학,컴퓨터공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,전북,국립,전북대학교 대학원,본교,단과대구분없음,컴퓨터공학전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학원,일반대학원,전북,사립,전주대학교 일반대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,석사
2020,전문대학,전문대학(2년제),전북,사립,전주비전대학교,본교,단과대구분없음,컴퓨터정보과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,전문학사
2020,대학,대학교,제주,국립,제주대학교,본교,공과대학,전기전자통신컴퓨터공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,N.C.E.,공학계열,4년,학사
2020,대학,대학교,제주,국립,제주대학교,본교,사범대학,컴퓨터교육과,주간,일반과정,기존,자연과학계열,교육,중등자연과학교육,자연과학계열,4년,학사
2020,대학원,일반대학원,제주,국립,제주대학교 대학원,본교,단과대구분없음,컴퓨터교육전공,주간,일반과정,기존,자연과학계열,교육,중등자연과학교육,자연과학계열,2년,박사
2020,전문대학,전문대학(3년제),제주,사립,제주한라대학교,본교,단과대구분없음,컴퓨터멀티미디어과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,전문학사
2020,대학,대학교,광주,사립,조선대학교,본교,자연과학.공공보건안전대학,컴퓨터통계학과,주간,일반과정,변경,자연과학계열,수학·물리·천문·지구,통계학,자연과학계열,4년,학사
2020,대학원,일반대학원,광주,사립,조선대학교 대학원,본교,단과대구분없음,컴퓨터학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
