연천군,"22,060","22,139","22,117","22,109"
가평군,"31,839","31,896","31,948","32,005"
양평군,"59,196","59,376","59,430","59,577"
춘천시,"131,133","131,520","131,864","132,179"
원주시,"165,865","166,291","166,639","167,123"
강릉시,"102,954","103,187","103,259","103,321"
동해시,"42,960","42,988","42,985","43,014"
태백시,"20,634","20,617","20,624","20,599"
속초시,"40,798","40,848","40,872","40,929"
삼척시,"33,397","33,994","34,083","34,090"
홍천군,"34,283","34,304","34,283","34,328"
횡성군,"23,598","23,606","23,702","23,719"
영월군,"21,141","21,245","21,283","21,308"
평창군,"21,771","21,793","21,775","21,827"
정선군,"19,719","19,705","19,700","19,710"
철원군,"20,835","20,809","20,791","20,778"
화천군,"12,519","12,510","12,495","12,481"
양구군,"10,666","10,667","10,674","10,671"
인제군,"16,416","16,440","16,479","16,485"
고성군,"15,147","15,166","15,192","15,218"
양양군,"14,790","14,841","14,854","14,869"
청주시,"388,842","389,667","390,277","390,956"
상당구,"85,064","85,208","85,257","85,287"
서원구,"89,754","89,905","90,026","90,182"
흥덕구,"124,192","124,483","124,607","124,933"
청원구,"89,832","90,071","90,387","90,554"
충주시,"99,870","100,080","100,187","100,320"
제천시,"64,781","65,754","65,739","65,758"
보은군,"17,045","17,055","17,078","17,077"
옥천군,"25,304","25,337","25,414","25,449"
영동군,"23,782","23,816","23,815","23,820"
증평군,"18,018","18,105","18,177","18,242"
진천군,"41,650","41,762","41,818","41,875"
괴산군,"21,464","21,439","21,431","21,461"
음성군,"47,774","47,888","47,980","48,080"
단양군,"15,080","15,102","15,125","15,133"
천안시,"298,808","299,485","300,195","300,798"
동남구,"117,346","117,555","117,771","118,181"
서북구,"181,462","181,930","182,424","182,617"
공주시,"51,684","52,111","52,156","52,182"
보령시,"49,421","49,528","49,586","49,635"
아산시,"147,704","148,330","148,703","149,080"
서산시,"81,664","81,737","81,801","81,921"
논산시,"58,205","58,244","58,272","58,265"
계룡시,"17,298","17,345","17,396","17,422"
당진시,"79,627","79,779","79,859","79,987"
금산군,"25,878","25,910","25,938","25,971"
